"","event_id","year","start_date","end_date","event"
"140",NA,2013,2013-11-16,2013-11-17,"IFSC Climbing Worldcup (L) - Kranj (SLO) 2013"
"141","727",2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"142",NA,2012,2012-04-21,2012-04-22,"IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012"
"143",NA,2012,2012-04-27,2012-04-28,"IFSC Climbing Worldcup (B) - Vienna (AUT) 2012"
"144",NA,2012,2012-05-18,2012-05-19,"IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012"
"145",NA,2012,2012-06-01,2012-06-02,"IFSC Climbing Worldcup (B) - Vail (USA) 2012"
"146","732",2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"147",NA,2012,2012-07-20,2012-07-21,"IFSC Climbing Worldcup (L) - Briançon (FRA) 2012"
"148","734",2012,2012-07-28,2012-07-29,"IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012"
"149",NA,2012,2012-08-10,2012-08-11,"IFSC Climbing Worldcup (L) - Imst (AUT) 2012"
"150",NA,2012,2012-08-25,2012-08-26,"IFSC Climbing Worldcup (B) - Munich (GER) 2012"
"151","737",2012,2012-09-01,2012-09-02,"IFSC Climbing Worldcup (S) - Arco (ITA) 2012"
"152",NA,2012,2012-09-11,2012-09-12,"IFSC World Championship Lead Group A - Paris 2012"
"153",NA,2012,2012-09-11,2012-09-12,"IFSC World Championship Lead Group B - Paris 2012"
"154","738",2012,2012-09-12,2012-09-16,"IFSC Climbing World Championship - Paris (FRA) 2012"
"155",NA,2012,2012-09-21,2012-09-22,"IFSC Climbing Worldcup (L) - Puurs (BEL) 2012"
"156",NA,2012,2012-09-29,2012-09-30,"IFSC Climbing Worldcup (L) - Atlanta (USA) 2012"
"157","743",2012,2012-10-12,2012-10-13,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012"
"158","744",2012,2012-10-20,2012-10-21,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012"
"159",NA,2012,2012-10-27,2012-10-28,"IFSC Climbing Worldcup (L) - Inzai (JPN) 2012"
"160",NA,2012,2012-11-17,2012-11-18,"IFSC Climbing Worldcup (L) - Kranj (SLO) 2012"
