"","rank","fname","lname","country","best_qual","final","fall_qual","false_start_qual","fall_final","false_start_final","sex","event_id","lane_a","lane_b","fall_lane_a","false_start_lane_a","fall_lane_b","false_start_lane_b","first_round","quarter","semi","small_final","big_final","fall_first_round","fall_quarter","fall_semi","fall_small_final","fall_big_final","false_start_first_round","false_start_quarter","false_start_semi","false_start_small_final","false_start_big_final","tomoa_skip","year","start_date","end_date","event"
"22",22,"lincai","zhong","CHN",8.05,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"23",23,"guangdong","li","CHN",8.28,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"24",24,"jiacuo","suolang","CHN",11.25,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"25",1,"stanislav","kokorin","RUS",6.563,6.4,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"26",2,"danyil","boldyrev","UKR",6.601,9.04,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"27",3,"yaroslav","gontaryk","UKR",6.687,6.39,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"28",4,"evgeny","astashkin","RUS",6.707,7.45,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"29",5,"arsenii","shevchenko","RUS",6.891,6.68,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"30",6,"sergey","abdrakhmanov","RUS",6.609,7.26,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"31",7,"sergei","sinitcyn","RUS",6.858,7.29,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"32",8,"bassa","mawem","FRA",7.072,9.34,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
