event_id,event,start_date,end_date,year,rank,fname,lname,country,tomoa_skip
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,12,jordan,fishman,USA,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,13,dmitrii,timofeev,RUS,FALSE 
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,14,ludovico,fossali,ITA,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,15,leonardo,gontero,ITA,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,16,amir,maimuratov,KAZ,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,1,danyil,boldyrev,UKR,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,2,aleksandr,shilov,RUS,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,3,reza,alipour shenazandifard,IRI,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,4,dmitrii,timofeev,RUS,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,5,vladislav,deulin,RUS,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,6,marcin,dzienski,POL,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,7,jan,kriz,CZE,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,8,bassa,mawem,FRA,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,9,aleksandr,shikov,RUS,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,10,stanislav,kokorin,RUS,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,11,kostiantyn,pavlenko,UKR,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,12,leonardo,gontero,ITA,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,13,john,brosler,USA,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,14,lev,rudatskiy,RUS,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,15,ludovico,fossali,ITA,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,16,alessandro,santoni,ITA,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,1,danyil,boldyrev,UKR,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,2,dmitrii,timofeev,RUS,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,3,bassa,mawem,FRA,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,4,qixin,zhong,CHN,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,5,aleksandr,shilov,RUS,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,6,ludovico,fossali,ITA,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,7,gian luca,zodda,ITA,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,8,marcin,dzienski,POL,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,9,reza,alipour shenazandifard,IRI,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,10,jinxin,li,CHN,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,11,guillaume,moro,FRA,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,12,amir,maimuratov,KAZ,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,13,stanislav,kokorin,RUS,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,14,aleksandr,shikov,RUS,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,15,jan,kriz,CZE,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,16,leonardo,gontero,ITA,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,1,aleksandr,shikov,RUS,FALSE
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,2,aleksandr,shilov,RUS,FALSE
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,3,danyil,boldyrev,UKR,FALSE
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,4,bassa,mawem,FRA,FALSE
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,5,kostiantyn,pavlenko,UKR,FALSE
